fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2570-001.tif;701-151-005-2570-002.tif,701-151-005-2570-001,"General Sikorski Decorates Generals Duch, Maczek, and Bohusz-Szyszko",,,Author,World War (1939-1945);Military Decorations;Generals;Order Virtuti Militari,"Maczek, Stanisław;Bohusz-Szyszko, Zygmunt;Duch, Bolesław Bronisław;Sikorski, Władysław",Poland. Polskie Siły Zbrojne,,1939/1945,,,"Republic of Poland, The Ministry of Information, Photo Service",,"General Sikorski awards the Virtuti Militari to generals Bohusz-Szyszko, Duch, and Maczek. The generals are awarded in front of a crowd of soldiers.","No. 148;No. 149;Numbers on the back, D 10 24, D 10 25, 5, 6",still image,photographs,black-and-white photographs,11x15 cm; 11x15 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2569-001.tif,701-151-005-2569-001,General Sikorski Decorates M. Wisniewska,,,Author,World War (1939-1945);Military Decorations;Generals,"Wiśniewska, Maria;Sikorski, Władysław",Poland. Polskie Siły Zbrojne,,1939/1945,,1942-08,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,Maria Wiśniewska decorated by General Sikorski with the Cross of Valor for her bravery and courage. A crowd of women watch as the military decoration is presented to Wiśniewska.,"Numbers on the back: 30, II",still image,photographs,black-and-white photographs,13x11 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2847-001.tif,701-151-005-2847-001,MS Batory firing its cannon,,,Author,Merchant ships;World War (1939-1945);Sailors;Artillery,,Poland. Polskie Siły Zbrojne;Poland. Marynarka Wojenna;Batory (Ocean liner),,1939/1945,,,,,A Polish merchant ship is firing at the submarine. The sailors are testing a cannon.,Numbers on the back: 33%,still image,photographs,black-and-white photographs,22x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2851-001.tif,701-151-005-2851-001,SS Narocz,,,Author,World War (1939-1945);Merchant ships;Operation Overlord,,Poland. Polskie Siły Zbrojne;Poland. Marynarka Wojenna;Narocz (Merchant ship),France--Normandy,1939/1945,,,,,"Polish Merchant Navy's part in the invasion of Europe. The SS ""Narocz"" towing an invasion barge along the coast of Normandy.","Top Left;Numbers on the back: VIII, A-13-14, PM 40247",still image,photographs,black-and-white photographs,16x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-3024-001.tif,701-151-005-3024-001,Horbaczewski's Airplane,,,Author,World War (1939-1945);Mustang (Fighter plane);Aces (Fighter pilots),"Horbaczewski, Eugeniusz","Poland. Polskie Siły Powietrzne;Great Britain. Royal Air Force. Squadron (Polish), 3015th",,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,The fighter plane piloted by squadron leader Horbaczewski.,Numbers on the back: 2;Pm/50096,still image,photographs,black-and-white photographs,15x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2850-001.tif,701-151-005-2850-001,SS Modlin,,,Author,Breakwaters;Merchant ships;World War (1939-1945),,Poland. Polskie Siły Zbrojne;Poland. Marynarka Wojenna;Modlin (Merchant ship),,1939/1945,,,,,"Polish Merchant Navy's part in invasion of Europe. The SS ""Modlin,"" an old Polish merchantman, is now doing service as part of the new great breakwater.",Top Right;Numbers on the back: PM/40249,still image,photographs,black-and-white photographs,16x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4985-001.tif,701-151-005-4985-001,Girls Rescued from Exile with their Caretakers,,,Author,Exiles;Refugee children;Girls;Children's clothing;Brass instruments;Children and war,,Poland. Polskie Siły Zbrojne,,1939/1945,,1942,"Polish Army Film Unit, Foto Service, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna",,The photo shows two girls talking with a Polish soldier. The older girl and the Polish soldier seem to be trying to cheer up the little girl. The soldier is holding an instrument.,"Boguslawski pplk. dypl. - Lt. Col.;Numbers on the back: 3, 685, N252;24 AUG 1942 (Censorship Date)",still image,photographs,black-and-white photographs,9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4982-001.tif,701-151-005-4982-001,Polish Toddlers in Tehran During a Meal,,,Author,Toddlers;Dinners and dining;Children's clothing;World War (1939-1945);Refugee children;Children and war;Polish people,,,Iran--Tehran,1939/1945,,1943,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna",,Two toddlers sitting together on the ground. They are eating a meal together with spoons.,"Numbers on the back: 3, 1069, R2138;18 MAR 1943 (Censorship Date);k.2, f.3.;M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California;Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4971-001.tif,701-151-005-4971-001,A Group of Polish Children a Few Months after Arriving from Soviet Russia,,,Author,World War (1939-1945);Children's clothing;Refugee children;Civilian war relief;Refugee camps;Polish people,,,,1939/1945,,1942,Polish Government Information Center,,Polish children several months after arriving from Soviet Russia. The children are standing outside and preparing for their photos to be taken.,Words on the back: Film Prints,still image,photographs,black-and-white photographs,21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4975-001.tif,701-151-005-4975-001,A Group of Children Standing on Hospital Stairs,,,Author,Hospitals;Hospital patients;Stairs;Women;Children;World War (1939-1945),,,,1939/1945,,1941,,,The photo shows adults and children dressed in hospital gowns. They are standing on the stairs in front of a hospital.,1941-1942 (Date range of when the photo was taken),still image,photographs,black-and-white photographs,20x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4935-001.tif,701-151-005-4935-001,Children in a Cafeteria Run by Nuns,,,Author,Exiles;Nuns;World War (1939-1945);Cafeterias;Dinners and dining;Children's clothing;Orphans;Children and war;Civilian war relief,,,,1939/1945,,1942,,,Children sit at a table in the cafeteria. They are waiting for a meal. A nun pours soup into a bowl to feed the children.,Numbers on the back: 15436-3,still image,photographs,black-and-white photographs,20x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4980-001.tif,701-151-005-4980-001,The Child Salutes at a Camp in Tehran,,,Author,"Military ceremonies, honors, and salutes;Uniforms;Boys;Refugee children;Refugee camps;Children and war;Polish people",,Poland. Polskie Siły Zbrojne,Iran--Tehran,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service",,A soldier and a child are saluting each other in the middle of a field. They are both dressed in uniforms.,"Words on the back: flush left;Censorship No. -17469;No. 755;M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California;Numbers on the back; 571/11, 3 1/2x4 4/5, 4-5, 8",still image,photographs,black-and-white photographs,17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
